purpose,r_max,winner,utility,linkage,n_feasible,feasible_conditions
observability,0.35,sem_coarse,0.1650382121415734,0.3102532461599767,1,sem_coarse
observability,0.4,redact_bracket,0.6731650099289139,0.35787478197253214,2,redact_bracket;sem_coarse
observability,0.45,redact_bracket,0.6731650099289139,0.35787478197253214,3,redact_bracket;redact_surrogate;sem_coarse
observability,0.5,sem_medium,1.0,0.48264927923086615,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
observability,0.55,sem_medium,1.0,0.48264927923086615,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
observability,0.6,sem_medium,1.0,0.48264927923086615,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
observability,0.65,sem_medium,1.0,0.48264927923086615,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
observability,0.7,sem_medium,1.0,0.48264927923086615,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
observability,0.75,sem_medium,1.0,0.48264927923086615,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_med,0.35,sem_coarse,0.12831858407079647,0.3102532461599767,1,sem_coarse
analytics_med,0.4,redact_bracket,0.197277738074702,0.35787478197253214,2,redact_bracket;sem_coarse
analytics_med,0.45,redact_surrogate,0.44535940497894505,0.4239907589463723,3,redact_bracket;redact_surrogate;sem_coarse
analytics_med,0.5,sem_medium,1.0,0.48264927923086615,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
analytics_med,0.55,sem_medium,1.0,0.48264927923086615,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_med,0.6,sem_medium,1.0,0.48264927923086615,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_med,0.65,sem_medium,1.0,0.48264927923086615,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_med,0.7,sem_medium,1.0,0.48264927923086615,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_med,0.75,sem_medium,1.0,0.48264927923086615,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_side,0.35,sem_coarse,1.0,0.3102532461599767,1,sem_coarse
analytics_side,0.4,sem_coarse,1.0,0.3102532461599767,2,redact_bracket;sem_coarse
analytics_side,0.45,sem_coarse,1.0,0.3102532461599767,3,redact_bracket;redact_surrogate;sem_coarse
analytics_side,0.5,sem_coarse,1.0,0.3102532461599767,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
analytics_side,0.55,sem_coarse,1.0,0.3102532461599767,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_side,0.6,sem_coarse,1.0,0.3102532461599767,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_side,0.65,sem_coarse,1.0,0.3102532461599767,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_side,0.7,sem_coarse,1.0,0.3102532461599767,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_side,0.75,sem_coarse,1.0,0.3102532461599767,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_adherence,0.35,sem_coarse,1.0,0.3102532461599767,1,sem_coarse
analytics_adherence,0.4,sem_coarse,1.0,0.3102532461599767,2,redact_bracket;sem_coarse
analytics_adherence,0.45,sem_coarse,1.0,0.3102532461599767,3,redact_bracket;redact_surrogate;sem_coarse
analytics_adherence,0.5,sem_coarse,1.0,0.3102532461599767,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
analytics_adherence,0.55,sem_coarse,1.0,0.3102532461599767,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_adherence,0.6,sem_coarse,1.0,0.3102532461599767,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_adherence,0.65,sem_coarse,1.0,0.3102532461599767,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_adherence,0.7,sem_coarse,1.0,0.3102532461599767,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_adherence,0.75,sem_coarse,1.0,0.3102532461599767,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_composite,0.35,sem_coarse,0.7094395280235988,0.3102532461599767,1,sem_coarse
analytics_composite,0.4,sem_coarse,0.7094395280235988,0.3102532461599767,2,redact_bracket;sem_coarse
analytics_composite,0.45,sem_coarse,0.7094395280235988,0.3102532461599767,3,redact_bracket;redact_surrogate;sem_coarse
analytics_composite,0.5,sem_medium,0.9977491720168491,0.48264927923086615,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
analytics_composite,0.55,sem_medium,0.9977491720168491,0.48264927923086615,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_composite,0.6,sem_medium,0.9977491720168491,0.48264927923086615,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_composite,0.65,sem_medium,0.9977491720168491,0.48264927923086615,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_composite,0.7,sem_medium,0.9977491720168491,0.48264927923086615,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_composite,0.75,sem_medium,0.9977491720168491,0.48264927923086615,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_cohort,0.35,sem_coarse,0.22830687830687835,0.3102532461599767,1,sem_coarse
analytics_cohort,0.4,redact_bracket,0.3888888888888889,0.35787478197253214,2,redact_bracket;sem_coarse
analytics_cohort,0.45,redact_bracket,0.3888888888888889,0.35787478197253214,3,redact_bracket;redact_surrogate;sem_coarse
analytics_cohort,0.5,raw,0.3888888888888889,0.48057589546603063,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
analytics_cohort,0.55,raw,0.3888888888888889,0.48057589546603063,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_cohort,0.6,raw,0.3888888888888889,0.48057589546603063,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_cohort,0.65,raw,0.3888888888888889,0.48057589546603063,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_cohort,0.7,raw,0.3888888888888889,0.48057589546603063,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_cohort,0.75,raw,0.3888888888888889,0.48057589546603063,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
