purpose,r_max,winner,utility,linkage,n_feasible,feasible_conditions
observability,0.35,sem_coarse,0.1650382121415734,0.3095413925127006,1,sem_coarse
observability,0.4,redact_bracket,0.6731650099289139,0.3568462879823953,2,redact_bracket;sem_coarse
observability,0.45,redact_bracket,0.6731650099289139,0.3568462879823953,3,redact_bracket;redact_surrogate;sem_coarse
observability,0.5,sem_medium,1.0,0.4866875410037193,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
observability,0.55,sem_medium,1.0,0.4866875410037193,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
observability,0.6,sem_medium,1.0,0.4866875410037193,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
observability,0.65,sem_medium,1.0,0.4866875410037193,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
observability,0.7,sem_medium,1.0,0.4866875410037193,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
observability,0.75,sem_medium,1.0,0.4866875410037193,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_med,0.35,sem_coarse,0.12831858407079647,0.3095413925127006,1,sem_coarse
analytics_med,0.4,redact_bracket,0.197277738074702,0.3568462879823953,2,redact_bracket;sem_coarse
analytics_med,0.45,redact_surrogate,0.44535940497894505,0.43173116392604527,3,redact_bracket;redact_surrogate;sem_coarse
analytics_med,0.5,sem_medium,1.0,0.4866875410037193,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
analytics_med,0.55,sem_medium,1.0,0.4866875410037193,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_med,0.6,sem_medium,1.0,0.4866875410037193,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_med,0.65,sem_medium,1.0,0.4866875410037193,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_med,0.7,sem_medium,1.0,0.4866875410037193,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_med,0.75,sem_medium,1.0,0.4866875410037193,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_side,0.35,sem_coarse,1.0,0.3095413925127006,1,sem_coarse
analytics_side,0.4,sem_coarse,1.0,0.3095413925127006,2,redact_bracket;sem_coarse
analytics_side,0.45,sem_coarse,1.0,0.3095413925127006,3,redact_bracket;redact_surrogate;sem_coarse
analytics_side,0.5,sem_coarse,1.0,0.3095413925127006,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
analytics_side,0.55,sem_coarse,1.0,0.3095413925127006,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_side,0.6,sem_coarse,1.0,0.3095413925127006,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_side,0.65,sem_coarse,1.0,0.3095413925127006,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_side,0.7,sem_coarse,1.0,0.3095413925127006,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_side,0.75,sem_coarse,1.0,0.3095413925127006,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_adherence,0.35,sem_coarse,1.0,0.3095413925127006,1,sem_coarse
analytics_adherence,0.4,sem_coarse,1.0,0.3095413925127006,2,redact_bracket;sem_coarse
analytics_adherence,0.45,sem_coarse,1.0,0.3095413925127006,3,redact_bracket;redact_surrogate;sem_coarse
analytics_adherence,0.5,sem_coarse,1.0,0.3095413925127006,5,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium
analytics_adherence,0.55,sem_coarse,1.0,0.3095413925127006,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_adherence,0.6,sem_coarse,1.0,0.3095413925127006,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_adherence,0.65,sem_coarse,1.0,0.3095413925127006,7,raw;redact_bracket;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_adherence,0.7,sem_coarse,1.0,0.3095413925127006,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
analytics_adherence,0.75,sem_coarse,1.0,0.3095413925127006,8,raw;redact_bracket;redact_tokenize;redact_surrogate;sem_coarse;sem_medium;redact_llm_substitute;redact_llm_rephrase
